Symbol,Score,Sector,Discount_52W,Type,Bias,Risk,Stars,Absorption,BrokerAccum,Win5D,Win20D
BRIS.JK,55,BANKS,-0.043824701195219085,EARLY ACCUMULATION,Awal buildup sebelum breakout,Medium,⭐⭐⭐,False,False,0.3547008547008547,0.3150684931506849
BIPI.JK,25,OTHER,-0.408695652173913,DEEP VALUE (UNCONFIRMED),"Murah ekstrem, tapi belum ada akumulasi kuat",High,⭐,False,False,0.43162393162393164,0.5159817351598174
HUMI.JK,25,OTHER,-0.3764044943820225,DEEP VALUE (UNCONFIRMED),"Murah ekstrem, tapi belum ada akumulasi kuat",High,⭐,False,False,0.38461538461538464,0.634703196347032
BUMI.JK,15,OTHER,-0.4698275862068966,DEEP VALUE (UNCONFIRMED),"Murah ekstrem, tapi belum ada akumulasi kuat",High,⭐,False,False,0.5,0.5662100456621004
BBCA.JK,15,BANKS,-0.09752150606522225,WEAK / NOISE,Belum ada edge jelas,Low,⭐,False,False,0.3717948717948718,0.319634703196347
ANTM.JK,15,MATERIALS,-0.16176470588235292,WEAK / NOISE,Belum ada edge jelas,Low,⭐,False,False,0.5598290598290598,0.6027397260273972
DEWA.JK,15,OTHER,-0.3803680981595092,DEEP VALUE (UNCONFIRMED),"Murah ekstrem, tapi belum ada akumulasi kuat",High,⭐,False,False,0.5811965811965812,0.7488584474885844
BMRI.JK,15,OTHER,-0.014297594144927706,WEAK / NOISE,Belum ada edge jelas,Low,⭐,False,False,0.45726495726495725,0.5251141552511416
BBRI.JK,15,BANKS,0.0,WEAK / NOISE,Belum ada edge jelas,Low,⭐,False,False,0.5,0.5799086757990868
PTRO.JK,15,OTHER,-0.5271317829457365,DEEP VALUE (UNCONFIRMED),"Murah ekstrem, tapi belum ada akumulasi kuat",High,⭐,False,False,0.5641025641025641,0.680365296803653
